2431	聯昌	13.95
2433	互盛電	45.8
2434	統懋	15.4
2436	偉詮電	26.7
2438	翔耀	9.03
2439	美律	147.5
2440	太空梭	10.95
2441	超豐	54.1
2442	新美齊	8.39
2443	新利虹	5.89
2444	友旺	18.85
2448	晶電	39.7
2449	京元電子	28.15
2450	神腦	51.2
2451	創見	84.8
2453	凌群	14.5
2454	聯發科	310.0
2455	全新	110.0
2456	奇力新	159.5
2457	飛宏	10.05
2458	義隆	45.8
2459	敦吉	41.9
2460	建通	13.3
2461	光群雷	15.6
2462	良得電	28.3
2464	盟立	46.8
2465	麗臺	22.65
2466	冠西電	33.0
2467	志聖	28.3
2468	華經	12.2
2471	資通	14.9
2472	立隆電	79.3
2474	可成	346.0
2475	華映	2.01
2476	鉅祥	26.2
2477	美隆電	25.4
2478	大毅	115.5
2480	敦陽科	41.0
2481	強茂	61.2
2482	連宇	12.0
2483	百容	21.7
2484	希華	20.55
2485	兆赫	26.5
2486	一詮	11.45
2488	漢平	27.9
2489	瑞軒	12.8
2491	吉祥全	6.49
2492	華新科	385.0
2493	揚博	26.55
2495	普安	13.3
2496	卓越	146.0
2497	怡利電	24.5
2498	宏達電	58.5
2499	東貝	10.55
2501	國建	17.65
2504	國產	9.5
2505	國揚	14.85
2506	太設	11.7
2509	全坤建	30.9
2511	太子	11.4
2514	龍邦	13.65
2515	中工	8.16
2516	新建	6.3
2520	冠德	21.05
2524	京城	22.7
2527	宏璟	30.2
2528	皇普	18.75
2530	華建	15.15
2534	宏盛	38.55
2535	達欣工	25.75
2536	宏普	22.35
2537	聯上發	7.73
2538	基泰	11.15
2539	櫻花建	29.35
2540	愛山林	37.0
2542	興富發	45.5
2543	皇昌	8.1
2545	皇翔	28.1
2546	根基	25.8
2547	日勝生	10.85
2548	華固	70.4
2569	開立	1.7
2572	大棟	10.0
2577	亞昕	1.0
2591	高逸	13.63
2592	志品科	6.13
2596	綠意	23.6
2597	潤弘	37.6
2599	樂揚	15.99
2601	益航	13.05
2603	長榮	14.75
2605	新興	16.85
2606	裕民	33.4
2607	榮運	13.35
2608	大榮	39.9
2609	陽明	9.42
2610	華航	10.05
2611	志信	7.46
2612	中航	27.95
2613	中櫃	12.8
2614	東森	13.4
2615	萬海	16.45
