代號,名稱,開盤,最高,最低,收盤,成交量
'733445,碩禾國泰77購02,0.01,0.01,0.01,0.01,0
'733452,神盾富邦7A購01,0.13,0.14,0.12,0.14,52
'733453,頎邦富邦77購01,0.49,0.54,0.49,0.54,25
'733465,穩懋元富77購01,0.27,0.27,0.17,0.19,400
'733466,合晶元大76購02,1.88,2.08,1.88,2.08,22
'733468,直得元大76購01,3.19,3.19,3.19,3.19,0
'733473,合晶統一77購01,1.72,1.85,1.64,1.8,366
'733477,東洋兆豐76購01,0.06,0.06,0.06,0.06,0
'733478,濱川兆豐77購01,0.02,0.02,0.02,0.02,0
'733479,環球晶兆豐76購01,1.34,1.34,1.34,1.34,0
'733480,穩懋兆豐76購01,0.01,0.01,0.01,0.01,0
'733483,同致國泰78購02,0.05,0.05,0.05,0.05,0
'733493,頎邦台新77購01,0.51,0.53,0.5,0.52,500
'733512,牧德國泰76購01,8.3,8.3,8.3,8.3,0
'733513,先豐中信76購01,0.01,0.01,0.01,0.01,0
'733514,立端群益76購01,0.02,0.02,0.02,0.02,0
'733515,神盾群益77購01,0.02,0.02,0.02,0.02,0
'733516,健信群益76購01,0.02,0.02,0.02,0.02,0
'733517,凱美群益76購01,5.35,5.35,5.35,5.35,0
'733518,昂寶台新79購01,0.3,0.3,0.3,0.3,0
'733519,大江永豐76購01,0.12,0.16,0.1,0.1,46
'733520,立敦永豐76購01,1.13,2.03,1.13,2.03,11
'733521,宏觀永豐76購01,0.01,0.01,0.01,0.01,0
'733522,金山電永豐76購01,0.01,0.01,0.01,0.01,0
'733523,群聯永豐76購01,0.01,0.01,0.01,0.01,0
'733524,穩懋永豐76購01,0.01,0.01,0.01,0.01,0
'733525,鈊象永豐76購01,0.03,0.03,0.03,0.03,0
'733526,宇隆第一76購01,0.1,0.1,0.1,0.1,0
'733527,立端康和76購01,0.1,0.1,0.1,0.1,0
'733528,立敦凱基76購01,3.74,3.74,3.74,3.74,0
'733529,昂寶凱基76購01,0.11,0.11,0.11,0.11,0
'733530,精材凱基76購01,0.01,0.01,0.01,0.01,0
'733531,環宇凱基76購01,0.01,0.01,0.01,0.01,0
'733532,立敦元大76購01,3.66,3.66,3.66,3.66,0
'733533,同致元大76購03,0.04,0.04,0.04,0.04,0
'733534,凱美元大76購01,4.55,4.55,4.55,4.55,0
'733535,環球晶元大77購01,2.05,2.11,1.94,2.1,745
'733536,金居日盛76購01,0.04,0.04,0.04,0.04,0
'733537,威剛日盛76購01,0.02,0.02,0.02,0.02,0
'733538,金居統一76購01,0.06,0.06,0.06,0.06,0
'733539,先進光兆豐76購01,0.02,0.02,0.02,0.02,0
'733540,宜鼎兆豐77購01,0.82,0.87,0.81,0.87,59
'733541,群聯兆豐76購01,0.01,0.01,0.01,0.01,0
'733542,應華兆豐76購01,0.01,0.01,0.01,0.01,0
'733543,昂寶國泰76購01,0.01,0.01,0.01,0.01,0
'733544,VHQ永豐76購01,0.04,0.06,0.04,0.06,27
