代號,名稱,開盤,最高,最低,收盤,成交量
'070440,鴻海統一76購02,0.1,0.1,0.1,0.1,0
'070441,GIS統一77購01,0.18,0.18,0.18,0.18,0
'070442,劍麟元富76購01,0.01,0.01,0.01,0.01,0
'070443,光寶科元富76購01,0.1,0.1,0.1,0.1,0
'070444,宏達電元富76購02,0.04,0.04,0.04,0.04,0
'070445,力達元富76購01,0.03,0.03,0.03,0.03,0
'070446,中磊元富76購01,0.04,0.04,0.04,0.04,0
'070447,GIS元富76購03,0.09,0.09,0.09,0.09,0
'070448,台虹元富76購01,0.08,0.08,0.08,0.08,0
'070449,儒鴻第一79購01,4.56,4.58,4.45,4.45,278
'07044P,中石化元大79售03,0.55,0.55,0.55,0.55,300
'070450,智邦第一76購01,0.08,0.08,0.08,0.08,0
'070451,大立光兆豐77購01,0.83,1.06,0.83,1.06,92
'070452,大立光兆豐78購01,0.95,0.95,0.95,0.95,20
'070453,大立光兆豐78購02,0.54,0.54,0.54,0.54,20
'070454,儒鴻國票76購01,1.93,1.93,1.93,1.93,0
'070455,華邦電國票76購01,0.01,0.01,0.01,0.01,0
'070456,大同國票76購02,1.04,1.04,1.04,1.04,0
'070457,欣興國票76購02,0.14,0.19,0.14,0.18,9
'070458,上証2X群益76購04,0.08,0.09,0.08,0.09,1366
'070459,旺宏群益77購02,2.7,2.7,2.7,2.7,0
'07045P,儒鴻元大79售05,0.53,0.53,0.51,0.51,194
'070460,旺宏群益77購03,0.81,0.81,0.81,0.81,0
'070461,可成群益76購09,0.2,0.25,0.2,0.25,15
'070462,大立光群益76購15,0.53,0.67,0.53,0.66,558
'070463,大立光群益76購16,0.29,0.29,0.29,0.29,9
'070464,大立光群益76購17,0.21,0.21,0.21,0.21,200
'070465,奇鋐群益76購02,0.05,0.05,0.05,0.05,0
'070466,景碩群益76購03,0.5,0.59,0.5,0.59,200
'070467,台勝科群益76購02,5.6,5.6,5.6,5.6,0
'070468,隆達群益76購01,0.02,0.02,0.02,0.02,0
'070469,麗豐群益77購01,3.55,3.55,3.55,3.55,0
'07046P,和大元大79售03,0.66,0.67,0.66,0.66,307
'070470,國喬日盛76購01,0.27,0.27,0.27,0.27,0
'070471,東聯日盛76購01,0.14,0.14,0.14,0.14,0
'070472,微星日盛76購01,7.9,7.9,7.9,7.9,0
'070473,大立光日盛76購02,0.26,0.26,0.26,0.26,5
'070474,創意日盛76購01,0.07,0.07,0.07,0.07,0
'070475,臺股指日盛76購01,2.82,2.95,2.82,2.95,1529
'070476,上銀凱基76購02,3.85,3.85,3.85,3.85,30
'070477,大立光凱基79購01,0.65,0.68,0.65,0.68,41
'070478,大立光凱基79購02,0.5,0.52,0.5,0.52,407
'070479,大立光凱基79購03,0.86,0.95,0.86,0.88,91
'07047P,葡萄王元大79售04,0.94,1.07,0.93,1.02,2485
'070480,宏全凱基76購01,0.1,0.1,0.1,0.1,0
'070481,元黃金元大7A購01,0.7,0.7,0.7,0.7,0
'070482,滬深2X元大76購03,0.01,0.01,0.01,0.01,0
'070483,道瓊反元大79購01,0.38,0.38,0.38,0.38,0
'070484,廣宇元大76購02,0.03,0.03,0.03,0.03,0
'070485,光磊元大76購01,1.39,1.41,1.2,1.2,100
'070486,鴻準元大76購04,0.03,0.03,0.03,0.03,0
'070487,南亞科元大76購02,2.13,2.13,2.13,2.13,0
'070488,長榮航元大76購01,0.09,0.09,0.09,0.09,0
'070489,大立光元大76購13,0.47,0.47,0.47,0.47,10
'07048P,日月光元大79售04,1.26,1.29,1.26,1.26,843
'070490,大立光元大76購14,0.24,0.24,0.24,0.24,0
'070491,大立光元大77購01,0.55,0.62,0.55,0.61,367
'070492,大立光元大78購01,0.54,0.61,0.54,0.59,961
'070493,大立光元大79購01,0.55,0.66,0.55,0.63,1129
'070494,智原元大76購03,0.47,0.47,0.44,0.44,100
'070495,麗豐元大77購02,3.96,3.96,3.96,3.96,0
'070496,瀚宇博元大76購01,2.25,2.25,2.25,2.25,0
'070497,達運元大76購03,0.02,0.02,0.02,0.02,0
'070498,南茂元大76購02,0.04,0.04,0.04,0.04,0
'070499,上証2X中信7A購01,0.22,0.24,0.22,0.24,1219
'07049P,佳世達元大79售02,0.9,0.9,0.87,0.9,616
'070500,精英中信77購01,0.01,0.01,0.01,0.01,0
'070501,大立光中信76購03,0.2,0.25,0.2,0.25,199
'070502,大立光中信78購02,1.02,1.23,1,1.2,2472
'070503,大立光中信78購03,0.32,0.32,0.32,0.32,200
'070504,華新台新78購01,3.43,3.43,3.43,3.43,10
'070505,滬深2X永豐76購01,0.01,0.01,0.01,0.01,0
'070506,和大永豐76購01,0.03,0.03,0.03,0.03,0
'070507,大立光永豐76購08,0.01,0.01,0.01,0.01,0
'070508,大立光永豐76購09,0.06,0.06,0.06,0.06,0
'070509,大立光永豐76購10,0.28,0.29,0.28,0.29,50
'07050P,景碩元大79售03,0.79,0.82,0.74,0.82,1079
'070510,乙盛永豐76購01,0.01,0.01,0.01,0.01,0
'070511,達運永豐76購02,0.01,0.01,0.01,0.01,0
'070512,GIS永豐76購04,0.02,0.02,0.02,0.02,0
'070513,大立光玉山76購01,0.03,0.03,0.03,0.03,0
'070514,和大國泰78購01,0.6,0.6,0.56,0.6,715
'070515,宏盛國泰76購01,4.68,4.68,4.68,4.68,0
'070516,大立光國泰76購05,0.31,0.31,0.31,0.31,0
'070517,大立光國泰76購06,0.42,0.42,0.42,0.42,0
'070518,大立光國泰76購07,0.15,0.15,0.15,0.15,0
'070519,大立光國泰76購08,0.15,0.15,0.15,0.15,0
'07051P,緯創元大79售04,1.32,1.32,1.24,1.25,547
'070520,大立光國泰79購01,0.81,0.81,0.81,0.81,0
'070521,欣興國泰76購01,0.06,0.06,0.06,0.06,0
'070522,京鼎國泰78購01,0.61,0.63,0.59,0.6,82
'070523,麗豐國泰76購02,5.5,5.5,5.5,5.5,0
'070524,A50正2富邦76購01,0.07,0.07,0.07,0.07,0
'070525,和大富邦77購01,0.48,0.48,0.48,0.48,0
'070526,奇力新富邦79購01,3.44,3.44,3.44,3.44,12
'070527,大立光富邦76購09,0.21,0.21,0.21,0.21,0
'070528,大立光富邦76購10,0.19,0.2,0.19,0.2,65
'070529,大立光富邦79購02,0.84,0.89,0.84,0.89,15
'07052P,貿聯元大79售04,2.08,2.09,1.82,1.83,978
'070530,大立光統一76購04,0.18,0.18,0.18,0.18,300
'070531,大立光統一77購02,0.41,0.53,0.41,0.51,1207
'070532,大立光統一77購03,0.6,0.77,0.6,0.74,4538
'070533,大立光統一77購04,0.54,0.63,0.54,0.63,1137
'070534,大立光統一77購05,0.27,0.3,0.27,0.3,2
'070535,大立光統一78購01,0.53,0.53,0.53,0.53,0
'070536,南亞科元富76購01,1.34,1.34,1.34,1.34,0
'070537,華新科元富76購01,19.1,19.1,19.1,19.1,0
'070538,大立光元富76購01,0.66,0.66,0.66,0.66,3
'070539,大立光元富76購02,0.23,0.23,0.23,0.23,0
'07053P,臻鼎元大79售02,0.88,0.88,0.88,0.88,0
'070540,大立光元富76購03,0.08,0.08,0.08,0.08,0
'070541,大立光元富76購04,1.23,1.5,1.23,1.42,120
'070542,大立光元富76購05,1.72,1.85,1.72,1.85,44
'070543,大立光元富76購06,2.88,2.88,2.84,2.85,11
'070544,中磊元富76購02,0.05,0.05,0.05,0.05,9
'070545,彩晶元富76購01,0.04,0.04,0.04,0.04,0
'070546,國泰金第一76購01,0.19,0.19,0.19,0.19,0
'070547,日股2X群益76購01,0.15,0.15,0.15,0.15,0
'070548,華通群益76購03,0.02,0.02,0.02,0.02,0
'070549,大同群益76購04,1.76,1.76,1.76,1.76,0
'07054P,中租元大79售03,0.95,0.97,0.95,0.97,906
'070550,大立光群益76購18,1.36,1.46,1.36,1.46,29
'070551,創意群益77購02,0.38,0.4,0.38,0.4,110
'070552,聯鈞群益76購01,0.01,0.01,0.01,0.01,0
'070553,葡萄王日盛76購01,0.9,0.9,0.9,0.9,0
'070554,和大凱基76購01,0.1,0.1,0.1,0.1,0
'070555,美律凱基78購01,0.06,0.06,0.06,0.06,110
'070556,奇鋐凱基76購03,0.07,0.07,0.07,0.07,11
'070557,GIS凱基76購02,0.14,0.16,0.14,0.16,24
'070558,深中小元大76購02,0.03,0.03,0.03,0.03,0
'070559,為升元大76購02,1.8,1.8,1.8,1.8,0
'07055P,樺漢元大79售03,1.03,1.04,1.03,1.04,200
'070560,鴻海元大76購09,0.01,0.01,0.01,0.01,0
'070561,旺宏元大77購02,0.84,0.87,0.77,0.77,1432
'070562,大同元大76購02,0.71,0.71,0.71,0.71,0
'070563,廣達元大76購01,0.05,0.05,0.05,0.05,0
'070564,可成元大77購03,0.92,0.96,0.9,0.96,1213
